turno_ordinal,turn_id,classe_turno,modulo,elegibilidade,consulta_esperada,consulta_observada,efeito_esperado,efeito_observado,estado_ativacao,chamadas_detectadas,confianca_observacao,input_tokens_expostos_nao_aditivos,tokens_totais_expostos_nao_aditivos,tokens_totais_atribuidos_fracionados,tokens_uncached_atribuidos_fracionados_aprox,latencia_exposta_segundos_nao_aditiva,latencia_atribuida_fracionada_ms,par_preparar_concluir_exato
4,01a091b9-2471-7150-acbc-6907316dbd4c,autoria_ou_terminal,sidequest_progression,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
4,01a091b9-2471-7150-acbc-6907316dbd4c,autoria_ou_terminal,quest_rewards,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
4,01a091b9-2471-7150-acbc-6907316dbd4c,autoria_ou_terminal,sidequest_success_reactions,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
4,01a091b9-2471-7150-acbc-6907316dbd4c,autoria_ou_terminal,canon_bridge,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
4,01a091b9-2471-7150-acbc-6907316dbd4c,autoria_ou_terminal,canonical_secret_quests,indeterminada,,sim,,,observada,1,media,3237058,3250322,325033,5319,353.921,35392,nao
4,01a091b9-2471-7150-acbc-6907316dbd4c,autoria_ou_terminal,seven_names_migration_regression,indeterminada,,nao,,,nao_observada,0,nao_aplicavel,0,0,0,0,,0,
4,01a091b9-2471-7150-acbc-6907316dbd4c,autoria_ou_terminal,npc_social_initiative,indeterminada,,sim,,,observada,1,media,3237058,3250322,325032,5319,353.921,35392,nao
4,01a091b9-2471-7150-acbc-6907316dbd4c,autoria_ou_terminal,world_local_incidents,indeterminada,,sim,,,observada,2,media,3237058,3250322,325032,5318,353.921,35392,nao
4,01a091b9-2471-7150-acbc-6907316dbd4c,autoria_ou_terminal,persistent_world_conditions,indeterminada,,sim,,,observada,5,media,3237058,3250322,325032,5318,353.921,35392,nao
4,01a091b9-2471-7150-acbc-6907316dbd4c,autoria_ou_terminal,liveness_boundary,indeterminada,,sim,,,observada,2,media,3237058,3250322,325032,5319,353.921,35392,nao
